Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Tags,lang,target,target_tag,rater
Brain structural correlates of alexithymia in patients with major depressive disorder,"Forster, K.; Enneking, V.; Dohm, K.; Redlich, R.; Meinert, S.; Geisler, A. I.; Leehr, E. J.; Kugel, H.; Baune, B. T.; Arolt, V.; Zwitserlood, P.; Grotegerd, D.; Dannlowski, U.","BACKGROUND: Alexithymia is a risk factor for major depressive disorder (MDD) and has been associated with diminished treatment response. Neuroimaging studies have revealed structural aberrations of the anterior cingulate cortex and the fusiform gyrus in healthy controls with high levels of alexithymia. The present study tried to corroborate and extend these results to patients with MDD compared with healthy controls. METHODS: We investigated the relationship between alexithymia, depression and grey matter volume in 63 patients with MDD (mean age +/- standard deviation = 42.43 yr +/- 11.91; 33 female) and 46 healthy controls (45.35 yr +/- 8.37; 22 female). We assessed alexithymia using the Toronto Alexithymia Scale. We conducted an alexithymia x group analysis of covariance; we used a region-of-interest approach, including the fusiform gyrus and anterior cingulate cortex, and conducted whole brain analysis using voxelbased morphometry. RESULTS: Our analysis revealed a significant alexithymia x group interaction in the fusiform gyrus (left, pFWE = 0.031; right, pFWE = 0.010). Higher alexithymia scores were associated with decreased grey matter volume in patients with MDD (pFWE = 0.009), but with increased grey matter volume of the fusiform gyrus in healthy controls (pFWE = 0.044). We found no significant main effects in the region-of-interest analysis. LIMITATIONS: Owing to the naturalistic nature of our study, patients with MDD and healthy controls differed significantly in their alexithymia scores. CONCLUSION: Our results showed the fusiform gyrus as a correlate of alexithymia. We also found differences related to alexithymia between patients with MDD and healthy controls in the fusiform gyrus. Our study encourages research related to the transition from risk to MDD in people with alexithymia.",2020,Mar 1,J Psychiatry Neurosci,45,2,117-124,31603638.0,10.1503/jpn.190044,,#250,Forster 2020,,en,0.0,MNR,LS
"Alexithymic Trait, Painful Heat Stimulation, and Everyday Pain Experience","Pollatos, O.; Dietel, A.; Gundel, H.; Duschek, S.","BACKGROUND: Alexithymia was found to be associated with a variety of somatic complaints, including somatoform pain symptoms. This study addressed the question of whether the different facets of alexithymia are related to responses in heat pain stimulation and its interrelations with levels of everyday pain as assessed by self-report. METHODS: In the study, sensitivity to heat pain was assessed in 50 healthy female participants. Alexithymia facets were assessed by the Toronto Alexithymia Scale. Pain threshold and tolerance were determined using a testing the limits procedure. Participants, furthermore, rated subjective intensities and unpleasantness of tonic heat stimuli (45.5-47.5 degrees C) on visual analog scales and on a questionnaire. Possible confounding with temperature sensitivity and mood was controlled. Everyday pain was assessed by self-report addressing everyday pain frequency, intensity, and impairment experienced over the last 2 months. RESULTS: Main results were that the facets of alexithymia were differentially associated with pain perception. The affective scale ""difficulties in describing feelings"" was associated with hyposensitivity to pain as indicated by higher pain tolerance scores. Furthermore, everyday pain frequency was related to increased alexithymia values on the affective scale ""difficulties in identifying feelings,"" whereas higher values on the cognitive alexithymia scale ""externally oriented thinking"" were related to lower pain impairment and intensity. CONCLUSION: We conclude that the different facets of alexithymia are related to alternations in pain processing. Further research on clinical samples is necessary to elucidate whether different aspects of alexithymia act as a vulnerability factor for the development of pain symptoms.",2015,2015/10/07,Front Psychiatry,6,,139,26500561.0,10.3389/fpsyt.2015.00139,,#251,Pollatos 2015,,en,1.0,PRO,LS
Ventral Striatal-Hippocampus Coupling During Reward Processing as a Stratification Biomarker for Psychotic Disorders,"Schwarz, K.; Moessnang, C.; Schweiger, J. I.; Harneit, A.; Schneider, M.; Chen, J.; Cao, H.; Schwarz, E.; Witt, S. H.; Rietschel, M.; Nothen, M.; Degenhardt, F.; Wackerhagen, C.; Erk, S.; Romanczuk-Seiferth, N.; Walter, H.; Tost, H.; Meyer-Lindenberg, A.","BACKGROUND: Altered ventral striatal (vST) activation to reward expectancy is a well-established intermediate phenotype for psychiatric disorders, specifically schizophrenia (SZ). Preclinical research suggests that striatal alterations are related to a reduced inhibition by the hippocampal formation, but its role in human transdiagnostic reward-network dysfunctions is not well understood. METHODS: We performed functional magnetic resonance imaging during reward processing in 728 individuals including healthy control subjects (n = 396), patients (SZ: n = 46; bipolar disorder: n = 45; major depressive disorder: n = 60), and unaffected first-degree relatives (SZ: n = 46; bipolar disorder: n = 50; major depressive disorder: n = 85). We assessed disorder-specific differences in functional vST-hippocampus coupling and transdiagnostic associations with dimensional measures of positive, negative, and cognitive symptoms. We also probed the genetic underpinning using polygenic risk scores for SZ in a subset of healthy participants (n = 295). RESULTS: Functional vST-hippocampus coupling was 1) reduced in patients with SZ and bipolar disorder (p(FWE) < .05, small-volume corrected [SVC]); 2) associated transdiagnostically to dimensional measures of positive (p(FWE) = .01, SVC) and cognitive (p(FWE) = .02, SVC), but not negative, (p(FWE) > .05, SVC) symptoms; and 3) reduced in first-degree relatives of patients with SZ (p(FWE) = .017, SVC) and linked to the genetic risk for SZ in healthy participants (p = .035). CONCLUSIONS: We provide evidence that reduced vST-hippocampus coupling during reward processing is an endophenotype for SZ linked to positive and cognitive symptoms, supporting current preclinical models of the emergence of psychosis. Moreover, our data indicate that vST-hippocampus coupling is familial and linked to polygenic scores for SZ, supporting the use of this measure as an intermediate phenotype for psychotic disorders.",2022,Jan 15,Biol Psychiatry,91,2,216-225,34607654.0,10.1016/j.biopsych.2021.07.016,,#252,Schwarz 2022,,en,0.0,MNR,LS
Differentiating early-onset chronic depression from episodic depression in terms of cognitive-behavioral and emotional avoidance,"Brockmeyer, T.; Kulessa, D.; Hautzinger, M.; Bents, H.; Backenstrass, M.","BACKGROUND: Although chronic depression is associated with lower global functioning and poorer treatment response than episodic depression, little is known about the differences between these two forms of depression in terms of psychological factors. Thus, the present study aimed at differentiating chronic and episodic depression regarding cognitive-behavioral and emotional avoidance that have been proposed as important risk factors for depression and promising targets for the treatment of depression. METHODS: Thirty patients with early onset chronic depression were compared with 30 patients with episodic depression and 30 healthy, never-depressed controls in terms of self-reported cognitive-behavioral (social and non-social) and emotional avoidance. RESULTS: Chronically depressed patients reported more avoidance than healthy controls in each of the measures. Moreover, they reported more cognitive-nonsocial and behavioral-nonsocial as well as behavioral-social and emotional avoidance (in the form of restricted emotional expression to others) than patients with episodic depression. This kind of emotional avoidance also separated best between chronically and episodically depressed patients. Furthermore, general emotion avoidance and behavioral-social avoidance were positively correlated with levels of depression in chronically depressed patients. LIMITATIONS: The results are based on self-report data and should thus be interpreted with caution. Additionally, the cross-sectional design limits any causal conclusions. CONCLUSIONS: The findings underscore the relevance of cognitive-behavioral and emotional avoidance in differentiating chronic from episodic depression and healthy controls and advocate a stronger focus on maladaptive avoidance processes in the treatment of chronic depression.",2015,Apr 1,J Affect Disord,175,,418-23,25679196.0,10.1016/j.jad.2015.01.045,,#254,Brockmeyer 2015,,en,1.0,PRO,LS
Error-related activity of the sensorimotor network contributes to the prediction of response to cognitive-behavioral therapy in obsessive-compulsive disorder,"Grutzmann, R.; Klawohn, J.; Elsner, B.; Reuter, B.; Kaufmann, C.; Riesel, A.; Bey, K.; Heinzel, S.; Kathmann, N.","BACKGROUND: Although cognitive behavioral therapy is a highly effective treatment for obsessive-compulsive disorder (OCD), yielding large symptom reductions on the group level, individual treatment response varies considerably. Identification of treatment response predictors may provide important information for maximizing individual treatment response and thus achieving efficient treatment resource allocation. Here, we investigated the predictive value of previously identified biomarkers of OCD, namely the error-related activity of the supplementary motor area (SMA) and the sensorimotor network (SMN, postcentral gyrus/precuneus). METHODS: Seventy-two participants with a primary diagnosis of OCD underwent functional magnetic resonance imaging (fMRI) scanning while performing a flanker task prior to receiving routine-care CBT. RESULTS: Error-related BOLD response of the SMN significantly contributed to the prediction of treatment response beyond the variance accounted for by clinical and sociodemographic variables. Stronger error-related SMN activity at baseline was associated with a higher likelihood of treatment response. CONCLUSIONS: The present results illustrate that the inclusion of error-related SMN activity can significantly increase treatment response prediction quality in OCD. Stronger error-related activity of the SMN may reflect the ability to activate symptom-relevant processing networks and may thus facilitate response to exposure-based CBT interventions.",2022,,Neuroimage Clin,36,,103216,36208547.0,10.1016/j.nicl.2022.103216,,#255,Grutzmann 2022,,en,1.0,PRO,JD
Treatment utilization and treatment barriers in individuals with body dysmorphic disorder,"Schulte, J.; Schulz, C.; Wilhelm, S.; Buhlmann, U.","BACKGROUND: Although effective treatments are available, most individuals with body dysmorphic disorder (BDD) do not receive an appropriate diagnosis or treatment. We aimed to examine treatment utilization and barriers to treatment, and to identify associated socio-demographic and clinical characteristics. METHODS: German individuals completed an online self-report survey of appearance concerns. A sample of N = 429 individuals met criteria for BDD. We examined the frequency of treatment utilization and barriers, analyzed comparisons between treated and untreated individuals and assessed the relationships of socio-demographic and clinical features with mental health treatment utilization and treatment barriers, respectively. RESULTS: Only 15.2% of the individuals with BDD had been diagnosed with BDD, and lifetime rates of mental health treatment were low (39.9%). Individuals endorsed multiple barriers to mental health treatment, especially shame, low perceived need and a preference for cosmetic and medical treatments. Associated features were identified, including age, a BDD diagnosis, body dysmorphic symptom severity, a likely major depressive disorder, prior cosmetic surgery, and insight. CONCLUSIONS: The results of this largest study to date highlight that BDD is still underrecognized and undertreated even in a country with extensive mental health care and few financial barriers. We discuss modifiable factors and strategies to foster awareness of BDD in sufferers and professionals to improve treatment dissemination and to reduce treatment barriers.",2020,Feb 18,BMC Psychiatry,20,1,69,32070300.0,10.1186/s12888-020-02489-0,,#256,Schulte 2020,,en,1.0,PRO,JD
Cognitive-behavioral therapy as continuation treatment to sustain response after electroconvulsive therapy in depression: a randomized controlled trial,"Brakemeier, E. L.; Merkl, A.; Wilbertz, G.; Quante, A.; Regen, F.; Buhrsch, N.; van Hall, F.; Kischkel, E.; Danker-Hopfe, H.; Anghelescu, I.; Heuser, I.; Kathmann, N.; Bajbouj, M.","BACKGROUND: Although electroconvulsive therapy (ECT) is the most effective acute antidepressant intervention, sustained response rates are low. It has never been systematically assessed whether psychotherapy, continuation ECT, or antidepressant medication is the most efficacious intervention to maintain initial treatment response. METHODS: In a prospective, randomized clinical trial, 90 inpatients with major depressive disorder (MDD) were treated with right unilateral ultra-brief acute ECT. Electroconvulsive therapy responders received 6 months guideline-based antidepressant medication (MED) and were randomly assigned to add-on therapy with cognitive-behavioral group therapy (CBT-arm), add-on therapy with ultra-brief pulse continuation electroconvulsive therapy (ECT-arm), or no add-on therapy (MED-arm). After the 6 months of continuation treatment, patients were followed-up for another 6 months. The primary outcome parameter was the proportion of patients who remained well after 12 months. RESULTS: Of 90 MDD patients starting the acute phase, 70% responded and 47% remitted to acute ECT. After 6 months of continuation treatment, significant differences were observed in the three treatment arms with sustained response rates of 77% in the CBT-arm, 40% in the ECT-arm, and 44% in the MED-arm. After 12 months, these differences remained stable with sustained response rates of 65% in the CBT-arm, 28% in the ECT-arm, and 33% in the MED-arm. CONCLUSIONS: These results suggest that ultra-brief pulse ECT as a continuation treatment correlates with low sustained response rates. However, the main finding implicates cognitive-behavioral group therapy in combination with antidepressants might be an effective continuation treatment to sustain response after successful ECT in MDD patients.",2014,Aug 1,Biol Psychiatry,76,3,194-202,24462229.0,10.1016/j.biopsych.2013.11.030,,#258,Brakemeier 2014,,en,1.0,PRO,JD
The relationship between acculturation and mental health of 1st generation immigrant youth in a representative school survey: does gender matter?,"Klein, E. M.; Muller, K. W.; Wolfling, K.; Dreier, M.; Ernst, M.; Beutel, M. E.","BACKGROUND: Although gender plays a pivotal role in the psychological adaptation of immigrant youth, its association with acculturation strategy and mental health among 1st generation immigrant adolescents are still scarce and inconsistent. Therefore, the purpose of the current study was to investigate gender-related differences in acculturation patterns and their association with mental health (internalizing and externalizing problems). METHODS: Self-reported data of immigrant adolescents (N = 440) aged between 12 and 19 years (M = 16.2; SD = 1.6) was collected in a representative German school survey. Fifty-one percent of the sample were female (n = 224). Almost half of the sample was born in the Former Soviet Union, followed by Poland (9.3%). Sociodemographic variables, acculturation strategies, and internalizing as well as externalizing problems were assessed by questionnaires. RESULTS: Confirmatory factor analysis supported the four- dimensional model of acculturation styles (assimilation, integration, separation and marginalization). Whereas girls more often showed an integration pattern, boys scored higher on the separation and marginalization scale. After adjusting for age and educational level, regression analyses revealed for both gender that marginalization was associated with more internalizing problems. Separation was related to more externalizing problems. CONCLUSION: 1st generation adolescents experiencing a lack of belongingness to German society, socio-economic and educational disadvantages might be particularly vulnerable to mental distress. Findings are discussed in terms of gender-related differential socialization processes in context of immigration.",2020,2020/07/17,Child Adolesc Psychiatry Ment Health,14,1,29,32695221.0,10.1186/s13034-020-00334-6,,#259,Klein 2020,,en,1.0,PRO,LS
Severely Burdened Individuals Do Not Need to Be Excluded From Internet-Based and Mobile-Based Stress Management: Effect Modifiers of Treatment Outcomes From Three Randomized Controlled Trials,"Weisel, K. K.; Lehr, D.; Heber, E.; Zarski, A. C.; Berking, M.; Riper, H.; Ebert, D. D.","BACKGROUND: Although internet-based and mobile-based stress management interventions (iSMIs) may be a promising strategy to reach employees suffering from high chronic stress, it remains unknown whether participants with high symptom severity of depression or anxiety also benefit from iSMIs or should be excluded. OBJECTIVE: This study aimed to evaluate the efficacy of iSMIs in subgroups with high symptom severity and to test whether baseline symptom severity moderates treatment outcome. METHODS: Data from three randomized controlled trials (N=791) were pooled to identify effect modifiers and to evaluate efficacy in subgroups with different levels of initial symptom severity. The outcomes perceived stress (Perceived Stress Scale, PSS), depression severity (Center for Epidemiological Depression Scale, CES-D), and anxiety (Hospital Anxiety and Depression Scale, HADS) symptom severity were assessed at baseline, 7-week postassessment, and 6-month follow-up. Potential moderators were tested in predicting differences in the change of outcome in multiple moderation analyses. Simple slope analyses evaluated efficacy of the iSMI comparing the intervention group with the waitlist control group in subgroups with low, moderate, and severe initial symptomology based on means and SDs of the study population. In addition, subgroups with clinical values of depression (CES-D>/=16) and anxiety (HADS>/=8) at baseline were explored, and response rates (RRs; 50% symptom reduction) and symptom-free (SF) status (CES-D<16, HADS<8) were reported. RESULTS: Individuals with high stress (PSS>/=30), depression (CES-D>/=33), anxiety (HADS>/=15), and emotional exhaustion (MBI>/=5.6) benefited significantly from the intervention with great reductions of stress (d(post)=0.86-1.16, d(FU)=0.93-1.35), depression (d(post)=0.69-1.08, d(FU)=0.91-1.19), and anxiety (d(post)=0.79-1.19, d(FU)=1.06-1.21), and effects were sustained at 6-month follow-up. Symptom severity moderated treatment outcomes, as individuals with higher symptom severity at baseline benefited significantly more from the intervention than individuals with lower symptom severity. Furthermore, 82.9% (656/791) of individuals had clinical depression values at baseline, of which significantly more individuals in the intervention group reached at least 50% symptom reduction or fell under clinical cut-off (RR: 29.2%, 93/318; SF: 39.6%, 126/318) compared with the waitlist control group (RR: 8.0%, 27/338; SF: 18.6%, 63/338) at postassessment. Significantly more individuals with clinical anxiety values at baseline (HADS>/=8, 85.3%, 675/791) in the intervention group achieved at least 50% symptom reduction or fell under clinical cut-off (RR: 27.7%, 94/339; SF: 39.8%, 135/339) compared with the WLC (RR: 4.8%, 16/336; SF: 15.5%, 52/336). CONCLUSIONS: Highly burdened individuals benefit greatly from iSMIs and therefore should not be excluded from participation. Stress management may be a valid entry point to reach highly burdened individuals who otherwise may not seek treatment. TRIAL REGISTRATION: 1) German Clinical Trials Register DRKS00005112; https://www.drks.de/DRKS00005112 (Archived by WebCite at http://www.webcitation.org/6zmIZwvdA); 2) German Clinical Trials Register DRKS00005384; https://www.drks.de/ DRKS00005384 (Archived by WebCite at http://www.webcitation.org/6zmIerdtr); and 3) German Clinical Trials Register DRKS00004749; https://www.drks.de/DRKS00004749 (Archived by WebCite at http://www.webcitation.org/6zmIjDQPx).",2018,Jun 19,J Med Internet Res,20,6,e211,29921562.0,10.2196/jmir.9387,,#260,Weisel 2018,,en,1.0,PRO,LS
The effect of salience of rewards on effort-based decision making in psychotic disorders,"Renz, K. E.; Lincoln, T. M.","BACKGROUND: Although motivational negative symptoms account for reduced functioning and quality of life in individuals with psychotic disorders, the underlying mechanisms are yet not fully understood. Neuroimaging studies suggest that an impaired perception of reward cues could result in a lack of incentive value that then leads to a decrease in goal-directed behavior. Therefore, the aim of this study was to test the effect of increasing the salience of reward cues on goal-directed behavior. METHODS: We recruited a sample of n = 30 participants with a psychotic disorder and at least mild negative symptoms and n = 30 healthy controls. We used the Balloon Effort Task, an effort-based decision-making paradigm, to assess amotivation on a behavioral level. We manipulated the salience of rewards in the paradigm by highlighting the monetary rewards in half of the trials. RESULTS: Total effort expenditure did not differ between participants with and without psychotic disorders, but participants with psychotic disorders showed a significantly reduced effort allocation to the level of rewards. The salience of rewards manipulation significantly increased effort expenditure both in participants with psychotic disorders and in the healthy controls, but had no impact on effort allocation. CONCLUSIONS: Increasing the salience of reward cues promotes goal-directed behavior. This opens up new possibilities for interventions addressing amotivation in individuals with negative symptoms by facilitating the perception of reward cues.",2022,Oct 13,BMC Psychiatry,22,1,643,36229803.0,10.1186/s12888-022-04274-7,,#261,Renz 2022,,en,0.0,MNR,JD
Indicated Web-Based Prevention for Women With Anorexia Nervosa Symptoms: Randomized Controlled Efficacy Trial,"Jacobi, C.; Vollert, B.; Hutter, K.; von Bloh, P.; Eiterich, N.; Gorlich, D.; Taylor, C. B.","BACKGROUND: Although preventive interventions for eating disorders in general have shown promise, interventions specifically targeting individuals at risk for anorexia nervosa (AN) are lacking. OBJECTIVE: The aim of this study was to determine the efficacy of a guided, indicated web-based prevention program for women at risk for AN. METHODS: We conducted a randomized controlled efficacy trial for women at risk for AN. Assessments were carried out at baseline (before the intervention), after the intervention (10 weeks after baseline), and at 6- and 12-month follow-ups (FUs). A total of 168 women with low body weight (17.5 kg/m(2)</=BMI</=19 kg/m(2)) and high weight concerns or with normal body weight (19 kg/m(2)<BMI</=25 kg/m(2)), high weight concerns, and high restrained eating were recruited from 3 German universities as well as on the web and randomized to Student Bodies-AN (SB-AN; intervention group [IG]) or a wait-list control group (CG). The exclusion criteria were current Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition-based full-syndrome eating disorders and serious medical or mental problems. The interventions were a cognitive-behavioral guided web-based prevention program (SB-AN) over 10 weeks (IG) and a wait-list CG. The primary outcomes were clinically significant changes in disordered eating attitudes and behaviors and change in BMI at 12-month FU in the group of participants who were underweight. The secondary outcomes were new onset of eating disorders, symptoms of disordered eating, and associated psychopathology. RESULTS: Data were available for 81.5% (137/168) of the women after the intervention and for 69% (116/168) of the women at 12-month FU. At 12-month FU, the IG participants showed larger decreases in Eating Disorder Examination total scores (38/48, 79% vs 33/58, 57%) than the CG participants and the IG participants who were underweight also showed larger clinically relevant increases in BMI (15/31, 49% vs 10/32, 32%) than the CG participants, but these differences were not significant. In addition, after the intervention and at 12-month FU, we found a significant increase in continuously measured BMI for the participants who were underweight and significant improvements in disordered eating attitudes and behaviors (eg, restrained eating as well as weight and shape concerns). At all time points, the rates of new-onset eating disorder cases were (nonsignificantly) lower in the IG than in the CG and the reductions in Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition-based eating disorder syndromes were (nonsignificantly) higher in the IG than in the CG. CONCLUSIONS: SB-AN is the first preventive intervention shown to significantly reduce specific risk factors for, and symptoms of, AN and shows promise for reducing full-syndrome AN onset. TRIAL REGISTRATION: ISRCTN Registry ISRCTN70380261; https://www.isrctn.com/ISRCTN70380261.",2022,Jun 2,J Med Internet Res,24,6,e35947,35653174.0,10.2196/35947,,#262,Jacobi 2022,,en,0.0,MNR,LS
How social rejection expectations and depressive symptoms bi-directionally predict each other - A cross-lagged panel analysis,"Kirchner, L.; Schummer, S. E.; Krug, H.; Kube, T.; Rief, W.","BACKGROUND: Although research suggests that social rejection expectations play a crucial role in the development and maintenance of depressive symptoms, it is not clear whether such expectations are a risk factor for depression or rather a consequence thereof. The present study addressed this issue by investigating the time-lagged bi-directional effects of social rejection expectations and depressive symptoms. METHODS: In an online survey, participants (N = 347) completed measures of social rejection expectations, depressive symptoms, interpersonal competencies, and perceived social support at baseline and 2 months later. The relationships between the variables were examined using path models and cross-lagged path analyses. RESULTS: Cross-lagged path analyses provided evidence for a substantial positive effect of social rejection expectations at baseline on depressive symptoms at follow-up in addition to the reverse effect. A mediator analysis indicated that neither interpersonal competencies nor perceived social support mediated these bi-directional effects. CONCLUSION: The current results demonstrate that social rejection expectations and depressive symptoms bi-directionally predict each other. Thus, social rejection expectations appears to be both a risk factor for - and a symptom of - depression. In order to prevent a vicious circle of social rejection expectations and depressive symptoms, we recommend the early detection and treatment of social rejection expectations. Moreover, social rejection expectations should be specifically addressed in cognitive-behavioural treatment of depression.",2022,Jun,Psychol Psychother,95,2,477-492,35099102.0,10.1111/papt.12383,,#264,Kirchner 2022,,en,0.0,MNR,LS
Psychometric properties of the German version of the borderline personality disorder severity index--version IV,"Kroger, C.; Vonau, M.; Kliem, S.; Roepke, S.; Kosfelder, J.; Arntz, A.","BACKGROUND: Although the borderline personality disorder severity index--version IV (BPDSI-IV) has already been used in several studies, psychometric properties are only known from two developing studies. SAMPLING AND METHODS: To examine item characteristics, reliability, and validity indicators, a large sample including subjects with borderline personality disorder (n = 163), a mixed psychiatric group (n = 58), and a healthy control group (n = 43) were interviewed with the German version of the Structured Clinical Interview for DSM-IV Personality Disorders (SCID-II) as well as the BPDSI-IV. RESULTS: The indices for interrater reliability as well as internal consistency of the BPDSI-IV were excellent to good. The total score and the subscales of the BPDSI-IV discriminated between diagnostic subgroups. As expected, its subscales were associated with the scores in the SCID-II and applied self-rating measures. CONCLUSIONS: In a subsequent version, subscales might have to be adapted to the proposed traits of the borderline type in DSM-V.",2013,2012/12/14,Psychopathology,46,6,396-403,23257978.0,10.1159/000345404,,#265,Kroger 2013,,en,1.0,PRO,LS
Prevalence and co-existence of morbidity of posttraumatic stress and functional impairment among Burundian refugee children and their parents,"Scharpf, F.; Kyaruzi, E.; Landolt, M. A.; Hecker, T.","Background: Although the family constitutes the prime source of risk and resilience for the well-being of children growing up in adverse conditions, the mental health of children living in refugee camps has rarely been investigated in conjunction with their parents' mental health. Objectives: To examine the prevalence of posttraumatic stress disorder (PTSD) and other mental health problems among Burundian refugee children and their parents living in Tanzanian refugee camps and to identify patterns of comorbidity among children and their parents based on PTSD symptom levels and functional impairment. Methods: We recruited a representative sample of 230 children aged 7-15 years and both of their parents (n = 690) and conducted separate structured clinical interviews. Latent Class Analysis was applied to identify patterns of comorbidity. Results: Children and parents were exposed to multiple traumatic event types. In total, 5.7% of children fulfilled DSM-5 criteria for PTSD in the past month and 10.9% reported enhanced levels of other mental health problems. 42.6% indicated clinically significant functional impairment due to PTSD symptoms. PTSD prevalence was higher among mothers (32.6%) and fathers (29.1%). Latent Class Analysis (LCA) revealed a familial accumulation of PTSD symptoms as children with high symptom levels and impairment were likely to live in families with two traumatized parents. Conclusions: Although the number of children who need support for trauma-related mental health problems was relatively low, taking into account parental trauma could aid to identify at-risk children with elevated PTSD symptom levels and impairment even in the face of existing barriers to mental health care access for children in refugee camp settings (e.g. lack of targeted services, prioritization of managing daily stressors).",2019,2019/10/14,Eur J Psychotraumatol,10,1,1676005,31681466.0,10.1080/20008198.2019.1676005,,#266,Scharpf 2019,,en,1.0,PRO,JD
Neural correlates of an attentional bias to health-threatening stimuli in individuals with pathological health anxiety,"Mier, D.; Bailer, J.; Ofer, J.; Kerstner, T.; Zamoscik, V.; Rist, F.; Witthoft, M.; Diener, C.","BACKGROUND: An attentional bias to health-threat stimuli is assumed to represent the primary pathogenetic factor for the development and maintenance of pathological health anxiety (PHA; formerly termed ""hypochondriasis""). However, little is known about the neural basis of this attentional bias in individuals with PHA. METHODS: A group of patients with PHA, a group of depressed patients and a healthy control group completed an emotional Stroop task with health-threat (body symptom and illness) words and neutral control words while undergoing functional MRI. RESULTS: We included 33 patients with PHA, 28 depressed patients and 31 controls in our analyses. As reflected in reaction times, patients with PHA showed a significantly stronger attentional bias to health-threat words than both control groups. In addition, patients with PHA showed increased amygdala and rostral anterior cingulate cortex activation for body symptom, but not for illness words. Moreover, only in patients with PHA amygdala activation in response to symptom words was positively associated with higher arousal and more negative valence ratings of the body symptom word material. LIMITATIONS: A control group of patients with an anxiety disorder but without PHA would have helped to define the specificity of the results for PHA. CONCLUSION: The attentional bias observed in patients with PHA is associated with hyperactivation in response to body symptom words in brain regions that are crucial for an arousal-related fear response (e.g., the amygdala) and for resolving emotional interference (e.g., the rostral anterior cingulate cortex). The findings have important implications for the nosological classification of PHA and suggest the application of innovative exposure-based interventions for the treatment of PHA.",2017,May,J Psychiatry Neurosci,42,3,200-209,28234209.0,10.1503/jpn.160081,,#268,Mier 2017,,en,0.0,MNR,JD
Olfaction as a marker for depression in humans,"Croy, I.; Symmank, A.; Schellong, J.; Hummel, C.; Gerber, J.; Joraschky, P.; Hummel, T.","BACKGROUND: Animal studies show a strong link between the loss of olfactory function and depressive behavior. We analyzed, whether olfactory function is a marker for depression in humans. If so, reduced olfactory function can be expected in depression that improves to level of normality after successful antidepressive treatment. METHODS: Twenty-seven female in-patients with depression were compared to 28 healthy age-matched women at the beginning and at the end of antidepressive therapy or at two visits, respectively. Olfactory function was assessed comprehensively including threshold, discrimination and identification testing, chemosensory event related potentials and olfactory functional magnetic resonance imaging. RESULTS: At the beginning of psychotherapy the patients exhibited reduced olfactory discrimination, prolonged latencies of the event-related potential and reduced activation in secondary olfactory structures (thalamus, insula, and left middle orbitofrontal). After therapy, patients improved significantly in all of the parameters and consequently the differences between control group and patients vanished. LIMITATIONS AND CONCLUSION: We conclude that olfaction is a marker for depression. However, the results are limited to a relatively selective sample of depressed women.",2014,May,J Affect Disord,160,,80-6,24445134.0,10.1016/j.jad.2013.12.026,,#269,Croy 2014,,en,1.0,PRO,JD
"Cognitive flexibility, central coherence, and quality of life in anorexia nervosa","Brockmeyer, T.; Febry, H.; Leiteritz-Rausch, A.; Wunsch-Leiteritz, W.; Leiteritz, A.; Friederich, H. C.","BACKGROUND: Anorexia nervosa (AN) has consistently been found to be associated with poor cognitive flexibility and central coherence. These two cognitive functions have been considered important maintenance factors in AN and are addressed by specific treatment approaches such as cognitive remediation therapy. While there is clear empirical evidence that difficulties in such cognitive functions are related to impaired daily functioning in schizophrenia and bipolar disorder, this potential association has received only little attention in AN research so far. Therefore, the aim of this study was to examine potential relationships between weak cognitive flexibility, central coherence, and poor quality of life (QoL) in AN. METHODS: Cognitive flexibility and central coherence were measured by both neuropsychological (i.e., performance based) and self-report measures alongside with self-reported QoL in a sample of 138 adult patients with AN. RESULTS: Self-report but not performance based measures of cognitive flexibility and central coherence were associated with QoL. Weaker cognitive flexibility and central coherence were correlated with poorer QoL. These associations were independent of comorbid depression. The link between weak central coherence and poor QoL was particularly strong in patients with the restricting subtype of AN. The link between cognitive flexibility and QoL, however, was independent of AN subtype. CONCLUSIONS: Weak cognitive flexibility and central coherence are associated with low QoL in AN, especially in patients with the restrictive subtype. However, this relationship is dependent on the method of measurement, where self-report measures seem to be more relevant than performance based measures.",2022,Feb 15,J Eat Disord,10,1,22,35168670.0,10.1186/s40337-022-00547-4,,#270,Brockmeyer 2022,,en,0.0,MNR,JD
