Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,lang,target,results,is_result
The Influence of Alcohol on Rumination and Metacognitions in Major Depressive Disorder,"Gawron, L.; Pohl, A.; Gerlach, A. L.",background and objective comorbidity between major depressive disorder mdd and alcohol use disorder aud is highly prevalent but reason for this association are unclear rumination may activate metacognitive belief that contribute to the development and maintenance of rumination and depression negative metacognitions can further lead to other dysfunctional coping strategy i e consumption of alcohol we examined whether alcohol reduces state metacognitions rumination and other disorder specific process in a group of individual suffering from mdd method in an experiment with three randomized condition we investigated whether the consumption of alcohol placebo or no alcohol orange juice affect meta cognition depressive symptom and or psychophysiological variable while participant ruminate result voluntary rumination increased self reported sadness tension and rumination tensed facial muscle and increased heart rate but did not affect state metacognitions and heart rate variability the consumption of alcohol did not influence rumination metacognitions depressive or psychophysiological measure limitation we recruited a depressed population but excluded pathological alcohol use due to ethical consideration conclusion we found no evidence that alcohol consumption affect rumination metacognitions and other disorder specific process in mdd however rumination had a negative effect on various depression specific process although it did not activate negative state metacognitions,2022,Dec,Clin Psychol Eur,4,4,e5615,36762347.0,10.32872/cpe.5615,,#178,Gawron 2022,Jonathan Diederichs (2023-06-08 00:40:00)(Screen): mix; ,,en,0.0,,0
[Posttraumatic Stress and Depressive Symptoms amongst Asylum Seekers],"Kroger, C.; Frantz, I.; Friel, P.; Heinrichs, N.",background and objective currently there is a large number of refugee that are coming to germany from civil war zone the aim of this study wa to estimate the extent of posttraumatic stress and depressive symptom amongst asylum seeker in germany method in the summer of 2015 280 adult refugee 88 2 men were interviewed with the support of translator in the lower saxony state refugee reception center brunswick data wa categorized due to country of origin balkan state middle east northern africa rest of africa the posttraumatic diagnostic scale 8 pd 8 and the patient health questionnaire phq 8 were employed a screening measure if the threshold value of 12 in the pd 8 or 15 in the phq are exceeded respectively the diagnosis of ptsd or depression is highly likely result participant reported an overall high number of potentially traumatic experience 72 5 war experience 67 9 violent attack 51 4 another very burdensome experience 50 0 torture 47 9 imprisonment 11 1 sexual assault whereby multiple answer were possible the prevalence rate for possible ptsd were 16 1 balkan state 20 5 middle east 23 4 rest of africa and 28 1 northern africa rate for a possible depression varied between the country of origin from 17 9 35 9 28 1 to 24 0 respectively conclusion compared to the german population the rate of traumatic experience and the prevalence of a possible ptsd were significantly higher amongst asylum seeker of the present sample this wa not the case for depression the integration of affected asylum seeker may be considerably complicated due to health impairment e g with regard to learning the german language and admission to educational or occupational service,2016,Sep,Psychother Psychosom Med Psychol,66,9-10,377-384,27723928.0,10.1055/s-0042-114045,,#179,Kroger 2016,Louis Schiekiera (2023-06-08 17:53:11)(Screen): descriptive; ,,en,,,0
"Body dysmorphic concerns, social adaptation, and motivation for psychotherapeutic support in dermatological outpatients","Ritter, V.; Fluhr, J. W.; Schliemann-Willers, S.; Elsner, P.; Strauss, B.; Stangier, U.",background and objective dermatologist are increasingly confronted with patient affected by body dysmorphic disorder bdd bdd is characterized by excessive preoccupation with one or more perceived defect s or flaw s in physical appearance which are not observable or appear slight to others so far there have been only few study examining the prevalence of bdd in dermatological outpatient in addition the need for psychotherapeutic support in dermatological outpatient with body dysmorphic concern ha not yet been systematically examined the objective of the present study wa therefore to investigate the frequency of body dysmorphic concern a well a social adaptation and the need for psychotherapeutic support in the aforementioned patient group patient and method a total of 252 dermatological outpatient seen at a german university hospital were consecutively enrolled and examined using the dysmorphic concern questionnaire the social adaptation self evaluation scale and the german version of the university of rhode island change assessment scale result 7 9 of all outpatient unselected sample showed positive test result suggesting clinically relevant body dysmorphic concern patient with clinically relevant body dysmorphic concern exhibited poor social adaptation contrary to expectation these patient revealed a high motivation for change indicating the necessity for psychotherapeutic support conclusion our finding confirm previous prevalence rate of bdd in dermatological outpatient and highlight the need for providing psychotherapeutic support to dermatological patient,2016,Sep,J Dtsch Dermatol Ges,14,9,901-8,27607031.0,10.1111/ddg.12908,,#180,Ritter 2016,Louis Schiekiera (2023-06-17 00:30:46)(Screen): mix; ,,en,0.0,,0
Reducing analogue trauma symptoms by computerized reappraisal training - considering a cognitive prophylaxis?,"Woud, M. L.; Postma, P.; Holmes, E. A.; Mackintosh, B.",background and objective distressing intrusion are a hallmark of posttraumatic stress disorder ptsd dysfunctional appraisal of these symptom may exacerbate the disorder and conversely may lead to further intrusive memory this raise the intriguing possibility that learning to reappraise potential symptom more functionally may protect against such symptom woud holmes postma dalgleish and mackintosh 2012 found that reappraisal training when delivered after an analogue stressful event reduced later intrusive memory and other posttraumatic symptom the present study aimed to investigate whether reappraisal training administered before a stressful event is also beneficial method participant first received positive or negative reappraisal training cbm app training using a series of scripted vignette subsequently participant were exposed to a film with traumatic content effect of the cbm app training procedure were assessed via three distinct outcome measure namely a post training appraisal of novel ambiguous vignette b change score on the post traumatic cognition inventory ptci and c intrusive symptom diary result cbm app training successfully induced training congruent appraisal style moreover those trained positively reported le distress arising from their intrusive memory of the trauma film during the subsequent week than those trained negatively however the induced appraisal bias only partly affected ptci score limitation participant used their own negative event a a reference for the ptci assessment the event may have differed regarding their emotional impact there wa no control group conclusion cbm app training ha also some beneficial effect when applied before a stressful event and may serve a a cognitive prophylaxis against trauma related symptomatology,2013,Sep,J Behav Ther Exp Psychiatry,44,3,312-5,23454552.0,10.1016/j.jbtep.2013.01.003,,#183,Woud 2013,Jonathan Diederichs (2023-06-08 00:09:00)(Screen): mix; ,,en,0.0,,0
Body-related attentional biases in patients with posttraumatic stress disorder resulting from childhood sexual abuse with and without co-occurring borderline personality disorder,"Witthoft, M.; Borgmann, E.; White, A.; Dyer, A.",background and objective disturbed body perception is a common characteristic of patient with posttraumatic stress disorder ptsd after childhood sexual abuse csa we examined the extent to which biased information processing of body related stimulus wa related to csa method patient with ptsd after csa ptsd group n 61 were compared to healthy control hc group n 30 the ptsd group wa subdivided into patient with comorbid borderline personality disorder bpd ptsd group and patient without bpd ptsd group we used an emotional stroop task est with body related word to a biased information processing result only patient in the ptsd group but not in the ptsd group showed a significantly stronger attentional bias to body related word compared to the hc group p 009 limitation recruitment in in patient setting might have led to a non representative sample of ptsd patient the ptsd patient were not characterized regarding anything other than the mentioned mental disorder potentially the body related word may have been associated with offender body area but not with the patient conclusion we found that patient with ptsd and comorbid bpd had a stronger attentional bias towards body related stimulus in comparison to other group this suggests that the observed attentional bias is a product of csa combined with the emotion regulation difficulty characteristic of bpd future study should test whether directly targeting body related abnormality in information processing can improve existing treatment for patient with csa and bpd,2015,Mar,J Behav Ther Exp Psychiatry,46,,72-7,25244677.0,10.1016/j.jbtep.2014.07.010,,#184,Witthoft 2015,Jonathan Diederichs (2023-05-20 01:01:37)(Screen): mix; ,,en,0.0,,0
The approach-avoidance task as an online intervention in cigarette smoking: a pilot study,"Wittekind, C. E.; Feist, A.; Schneider, B. C.; Moritz, S.; Fritzsche, A.",background and objective dual process model posit that addictive behavior are characterized by strong automatic process that can be assessed with implicit measure the present study investigated the potential of a cognitive bias modification paradigm the approach avoidance task aat for retraining automatic behavioral tendency in cigarette smoking method the study wa set up a an online intervention after completing an online survey 257 smoker were randomly allocated either to one of two experimental condition aat or a waitlist control group participant responded to different picture by pushing or pulling the computer mouse depending on the format of the picture picture in portrait format depicted smoking related item and were associated with pushing picture in landscape format depicted neutral item and were associated with pulling one version of the aat provided individual feedback after each trial whereas the standard version did not after four week participant were re assessed in an online survey result analysis revealed that the standard aat in particular led to a significant reduction in cigarette consumption cigarette dependence and compulsive drive no effect wa found in the control group limitation interpretability of the study is constrained by the fact that no active control condition wa applied conclusion notwithstanding the limitation our finding indicate that the aat might be a feasible instrument to reduce tobacco dependence and can be applied a an online intervention future study should investigate whether the effect of behavior therapy can be augmented when combined with retraining intervention,2015,Mar,J Behav Ther Exp Psychiatry,46,,115-20,25306247.0,10.1016/j.jbtep.2014.08.006,,#185,Wittekind 2015,Louis Schiekiera (2023-06-16 21:03:19)(Screen): mix; ,,en,0.0,,0
[Burn-On Instead of Burn-Out: Self-Care and Functional Coping Strategies Protect Psychotherapists from Psychological Stress During the Corona Pandemic],"Schwartzkopff, L.; Schuller, J.; Muller-Engelmann, M.",background and objective due to the corona pandemic psychotherapist are confronted with new professional challenge regarding the patient care to be provided the question of risk and protective factor for maintaining well being during the pandemic appears relevant to prevent negative long term consequence such a burnout this is the first study investigating the influence of coping and self care strategy on the psychological distress of psychotherapist in germany during the corona pandemic method from april to june 2020 155 psychotherapist completed an online questionnaire additionally to job related change stress level symptom of burnout and well being were assessed furthermore the influence of active and passive coping strategy a well a of different area of self care e g professional support cognitive awareness for work related stress and work life balance on psychological burden wa examined result psychotherapist worked an average of 1 22 hour le per week during the pandemic than before on average 38 of treatment were delivered via video therapy avoidant coping strategy were associated with increased stress level which predicted higher burnout score and lower well being in contrast a good work life balance a good daily balance at work and active coping had a positive effect contrary to expectation cognitive awareness for work related stress wa related to lower well being discussion work life balance can serve a a preventive strategy to reduce stress during the corona pandemic and thereby reduce the risk for burnout and improve well being avoidant coping strategy on the other hand are a risk factor for increased stress level during pandemic and promote burnout and lower well being conclusion this study contributes to our knowledge regarding preventive measure to prevent stress and to maintain the well being of psychotherapist in order to contribute to ongoing high quality patient care during the pandemic,2022,Apr,Psychother Psychosom Med Psychol,72,3-04,131-138,34781381.0,10.1055/a-1645-1824,,#186,Schwartzkopff 2022,Louis Schiekiera (2023-06-06 23:43:16)(Screen): mix; ,,en,0.0,,0
Introducing an EXperimental Paradigm to investigate Expectation Change (EXPEC),"Kube, T.; Rief, W.; Gollwitzer, M.; Glombiewski, J. A.",background and objective dysfunctional expectation are considered to be core feature of various mental disorder clinical observation suggest that people suffering from mental disorder such a major depression tend to maintain dysfunctional expectation despite expectation disconfirming evidence surprisingly this clinically relevant phenomenon ha not yet sufficiently been investigated in empirical study therefore we developed an experimental paradigm to investigate expectation change v maintenance and the first step to test it validity is to apply it in healthy individual method after conducting two pilot study n 28 n 37 the present study systematically examined whether it is possible to change healthy individual n 102 task specific and generalized performance expectation through expectation disconfirming experience using a standardized instruction we initially induced non positive expectation regarding participant ability to successfully work on an unknown test then participant received standardized performance feedback that either confirmed or disconfirmed their expectation before assessing participant expectation again after completing the test for the measure of emotional intelligence result result indicate that expectation disconfirming feedback led to a significant change of both task specific and generalized performance expectation there wa no expectation change in the expectation confirming condition limitation a the present study examined expectation change among healthy individual the next step is to apply this paradigm in a clinical sample and to examine whether expectation change is le likely among people suffering from depression or other mental disorder characterized by dysfunctional expectation conclusion focusing more rigorously on expectation maintenance among people with mental disorder could enable therapist to develop expectation focused intervention aiming at enhancing expectation change,2018,Jun,J Behav Ther Exp Psychiatry,59,,92-99,29253640.0,10.1016/j.jbtep.2017.12.002,,#187,Kube 2018,Jonathan Diederichs (2023-06-22 01:40:57)(Screen): pos; ,,en,1.0,,0
Preventive efforts in the aftermath of analogue trauma: The effects of Tetris and exercise on intrusive images,"Bruhl, A.; Heinrichs, N.; Bernstein, E. E.; McNally, R. J.",background and objective efficacious intervention soon after trauma exposure to prevent posttraumatic stress disorder ptsd are scarce evidence suggests that post trauma reminder cue to reactivate trauma memory followed by a cognitive visuospatial task such a tetri reduce later intrusive image furthermore study indicate that aerobic exercise may reduce ptsd symptom the present study aimed to test whether playing tetri without prior reminder cue after an experimental trauma limit the development of analogue symptom and to compare tetri to aerobic exercise which could plausibly alter cognitive affective processing of the trauma a well method participant n 71 watched a distressing film and were randomly assigned to either playing tetri cycling or remaining sedentary for 25 min without prior reminder cue intrusive image and co occurring distress were recorded in a diary during the following week after one week participant completed a recognition test to a voluntary memory of the film result neither tetri nor exercise without prior memory reactivation reduced intrusive image and associated distress nor impeded voluntary memory compared to the control condition there were no effect of physical fitness level at baseline or voluntary exercise during the subsequent week on analogue symptom limitation although participant were instructed to record intrusion a they occurred in diary they did not receive additional reminder throughout the follow up period conclusion our finding suggest that neither a single bout of aerobic exercise nor playing tetri without prior memory reactivation after an analogue trauma reduces stress symptom potential explanation and clinical implication are discussed,2019,Sep,J Behav Ther Exp Psychiatry,64,,31-35,30743217.0,10.1016/j.jbtep.2019.01.004,,#188,Bruhl 2019,Jonathan Diederichs (2023-06-18 03:10:06)(Screen): neg; ,,en,-1.0,,0
Remembering rejection: specificity and linguistic styles of autobiographical memories in borderline personality disorder and depression,"Rosenbach, C.; Renneberg, B.",background and objective high level of rejection sensitivity are assumed to be the result of early and prolonged experience of rejection aim of this study wa to investigate autobiographical memory of rejection in clinical sample high in rejection sensitivity borderline personality disorder bpd and major depressive disorder mdd and to identify group difference in the quality of the memory method memory of rejection were retrieved using an adapted version of the autobiographical memory test amt five positive cue word five cue word referring to rejection specificity of memory and linguistic word usage wa analyzed in 30 patient with bpd 27 patient with mdd and 30 healthy control result patient with bpd retrieved le specific memory compared to the healthy control group whereas patient with mdd did not differ from control in this regard the group difference wa no longer significant when controlling for rejection sensitivity linguistic analysis indicated that compared to both other group patient with bpd showed a higher self focus used more anger related word referred more frequently to social environment and rated memory of rejection a more relevant for today s life limitation clinical symptom were not assessed in the control group moreover the written form of the amt might reduce the total number of specific memory conclusion the level of rejection sensitivity influenced the specificity of the retrieved memory analysis of linguistic style revealed specific linguistic pattern in bpd compared to non clinical a well a depressed participant,2015,Mar,J Behav Ther Exp Psychiatry,46,,85-92,25259768.0,10.1016/j.jbtep.2014.09.002,,#189,Rosenbach 2015,Jonathan Diederichs (2023-06-15 05:10:46)(Screen): mix; ,,en,0.0,,0
"The effects of retrieval versus rehearsal of online problem-solving therapy sessions on recall, problem-solving skills and distress in distressed individuals: An experimental study","Bruijniks, S. J. E.; Sijbrandij, M.; Huibers, M. J. H.",background and objective improving memory for the content of therapy session might increase the effect of psychological intervention previous study showed that healthy individual who took a memory test retrieval of studied material showed better long term memory retention than individual who restudied rehearsal the material the aim of the current study wa to find out whether we can translate these finding to a subclinical setting method individual with moderate level of distress were randomized into retrieving n 46 or rehearsing n 49 four weekly session of online problem solving therapy pst session recall problem solving skill and distress were measured at baseline three day after each session and at one week follow up result retrieval led to overall higher recall but this difference disappeared when controlling for the time spent on retrieval versus rehearsal retrieval did not lead to better problem solving skill or le distress compared to rehearsal baseline working memory performance moderated the effect of condition on recall after controlling for the time spent on retrieval versus rehearsal the effect of retrieval compared to rehearsal on recall wa larger for individual with lower working memory performance limitation the sample mostly consisted of university student with overall high working memory score conclusion this study provided the first evidence that retrieval of the content of pst session may lead to better session recall compared to rehearsal of the pst session in individual with a low working memory score implication for the use of cognitive support strategy within a therapeutic setting are discussed,2020,Mar,J Behav Ther Exp Psychiatry,66,,101485,31491535.0,10.1016/j.jbtep.2019.101485,,#190,Bruijniks 2020,Jonathan Diederichs (2023-06-18 03:07:40)(Screen): mix; ,,en,0.0,,0
Effects of induced appearance-related interpretation bias: A test of the cognitive-behavioral model of body dysmorphic disorder,"Dietel, F. A.; Mobius, M.; Steinbach, L.; Dusend, C.; Wilhelm, S.; Buhlmann, U.",background and objective interpretation bias are hypothesized to maintain body dysmorphic disorder bdd although their existence and malleability have been investigated in clinical study their causal status in the maintenance of bdd remains unclear this study examined the effect of a single session appearance related interpretation bias training cbm i on bias index and stress reactivity i e distress appearance dissatisfaction self esteem perceived physical attractiveness exploring the causality predicted in cognitive behavioral model method we used a modified version of the word sentence association paradigm wsap assessing explicit i e decision rate and more implicit interpretation bias component i e reaction time mentally healthy student n 112 were randomized to training condition enhancing positive interpretation pattern pt v negative interpretation pattern nt v a no feedback control condition cc stress reactivity wa assessed during the cyberball paradigm result the pt showed a pre post increase in adaptive bias pattern regarding decision and a differential pre post decrease in reaction time for the rejection of negative interpretation compared to the other group there were no condition congruent post training difference in stress reactivity however residual interpretation bias change wa significantly correlated with state distress self esteem and appearance dissatisfaction during stressor exposure limitation limitation pertaining to sample characteristic training and assessment overlap and stressor task design are discussed conclusion finding suggest that appearance related interpretation bias is modifiable both explicitly and more implicitly via cbm i in a mentally healthy sample the causal status of interpretation bias in bdd maintenance warrant further investigation,2018,Dec,J Behav Ther Exp Psychiatry,61,,180-187,30118967.0,10.1016/j.jbtep.2018.07.003,,#191,Dietel 2018,Louis Schiekiera (2023-06-06 23:56:04)(Screen): mix; ,,en,0.0,,0
Enhanced association between perceptual stimuli and trauma-related information in individuals with posttraumatic stress disorder symptoms,"Lin, M.; Hofmann, S. G.; Qian, M.; Li, S.",background and objective intrusive memory in traumatized individual are often triggered by stimulus that are perceptually rather than conceptually similar to those present just before or during the trauma the present study examined whether those individual with high level of posttraumatic stress disorder ptsd symptom show a memory bias recall to perceptual cue and trauma target word compared to those with low level of ptsd method the sample consisted of 30 adult participant who were involved in motor vehicle or work related accident 15 of the participant endorsed clinically elevated symptom of ptsd while a comparison group of 15 participant reported low level of symptom participant performed an associative recognition task with conceptual or perceptual cue word and trauma related or neutral target word participant were tested for their recognition accuracy by reporting the corresponding target when a cue wa given result both group performed better for the perceptual word pair than for the conceptual word pair irrespective of the target word type however only the high ptsd symptom group exhibited an additional enhancement in performance for the perceptual word pair with trauma related target word limitation a nonclinical sample wa utilized for this study although ptsd wa assessed diagnosis were not confirmed in addition there wa lack of a healthy non traumatized control group conclusion these result provide partial support for the cognitive model and the notion that intrusive memory are specific to the trauma related event rather than to a general associative learning bias,2015,Mar,J Behav Ther Exp Psychiatry,46,,202-7,25460268.0,10.1016/j.jbtep.2014.10.008,,#192,Lin 2015,Louis Schiekiera (2023-05-11 19:08:11)(Screen): mix; ,,en,0.0,,0
"If the discrepancy between expectations and actual information is too large, expectation change decreases - A replication study","Kube, T.",background and objective mental disorder have been related to aberration in using novel positive information to revise established negative belief previous research used to make a binary distinction between belief confirming v disconfirming information but recently it ha been examined how varying level of positive information is used to update belief the present study aimed to replicate a recent finding suggesting that positive information that deviate to a large extent from people s prior expectation raise doubt about the credibility of new information and therefore hardly lead to change in expectation method in a heterogenous sample n 144 participant were provided with slightly positive moderately positive or extremely positive information in relation to their prior expectation about other people s behaviour result replicating previous research the present study found that expectation change wa greatest for moderately positive information it also provided evidence for a possible mechanism underlying the inverse u shaped relationship between the positivity of new information and change in expectation extremely positive information wa devalued through defensive cognitive strategy referred to a cognitive immunisation limitation unlike previous research the belief update task used in this study did not show any association with depressive symptom so it is questionable how suitable it is to study biased belief updating in depression conclusion unlike traditional learning model the present result suggest a tipping point above which the discrepancy between expectation and outcome is suspiciously large so that the degree of expectation change decrease,2023,Jun,J Behav Ther Exp Psychiatry,79,,101831,36521199.0,10.1016/j.jbtep.2022.101831,,#194,Kube 2023,Jonathan Diederichs (2023-06-18 02:31:58)(Screen): pos; ,,en,1.0,,0
Disrupted joint action accounts for reduced likability of socially anxious individuals,"Gunak, M. M.; Clark, D. M.; Lommen, M. J. J.",background and objective motivated by their fear of disapproval individual with social anxiety continually monitor their own behaviour during social interaction hoping to prevent dreaded negative outcome ironically they do evoke le positive reaction from others this study investigated whether lower engagement in the interpersonal process of joint action by socially anxious individual lead them to attract le positive rating by their conversation partner method high socially anxious hsa n 36 and low socially anxious individual lsa n 36 had separate conversation with a naive conversation partner n 36 conversation were filmed and analysed for joint action using the conventional manual way and a more exploratory automated way conversation partner rated the quality of the interaction and the person they talked to result conversation partner rated hsa participant le positively than lsa participant the conventional manual method showed le joint action in conversation with lsa participant and crucially joint action served a mediator between social anxiety status and general impression quality of interaction and desire to meet again these result were not replicated with the automated method limitation the study used an analogue sample and future research should investigate whether these finding also apply to a clinical sample future study should further explore the utility of automated technique to measure joint action conclusion reduced joint action may explain why socially anxious individual tend to be perceived le positively by others the finding emphasise the importance of taking an interpersonal and holistic approach to understanding aspect of social anxiety disorder,2020,Sep,J Behav Ther Exp Psychiatry,68,,101512,31739248.0,10.1016/j.jbtep.2019.101512,,#195,Gunak 2020,Louis Schiekiera (2023-06-14 22:12:40)(Screen): mix; ,,en,0.0,,0
Haunting self-images? The role of negative self-images in adolescent social anxiety disorder,"Schreiber, F.; Steil, R.",background and objective negative distorted self image nsi allegedly maintain social anxiety in adult suffering from social anxiety disorder sad these nsi are activated in feared social situation and are often linked to past socially traumatic event however because empirical evidence on the presence and characteristic of such nsi in adolescent suffering from sad is limited the aim of the present study is to examine the nature of nsi in adolescent sad patient method using a semi structured interview 31 adolescent with a primary diagnosis of sad and 31 healthy adolescent ha who were matched for age and gender completed a questionnaire set assessing the characteristic of nsi social anxiety and depression result relative to the ha group those suffering from sad reported experiencing nsi significantly more frequently more vividly and with greater distress no significant difference between the group emerged regarding a link between the nsi and an autobiographical event however nsi were reported a more often having an observer perspective in the sad a compared to the ha group hierarchical regression analysis revealed that certain characteristic of the nsi predict social anxiety beyond the influence of depression in adolescent with sad discussion nsi seem to be an important feature of adolescent sad and phenomenological comparable to nsi in adult suffering from sad conclusion specific intervention aiming to correct nsi which have proven to be highly effective in adult should be developmentally adapted and evaluated in future study,2013,Jun,J Behav Ther Exp Psychiatry,44,2,158-64,23207962.0,10.1016/j.jbtep.2012.10.003,,#196,Schreiber 2013,Louis Schiekiera (2023-05-11 19:09:02)(Screen): mix; ,,en,0.0,,0
The perils of aiming too high: Discrepancy between goals and performance in individuals with depressive symptoms,"Arens, E. A.; Zeier, P.; Schwieren, C.; Huisgen, H.; Barnow, S.",background and objective negative evaluation process play a pivotal role in the development and maintenance of depressive symptom however it remains to be understood whether evaluation process in depression are impaired by maladaptive goal setting method in a non clinical sample n 50 of individual with high bdi ii score 13 29 and low bdi ii score 0 3 level of depressive symptom goal setting prior to working on a cognitive task wa measured goal feasibility wa experimentally manipulated using an easy and a difficult version of the task result when goal feasibility wa low a high level of depressive symptom wa associated with setting unattainable goal whereas individual with low level of depressive symptom adjusted their goal to a lower more realistic level when task difficulty increased individual with high level of depressive symptom initially adhered to significantly higher goal so that their performance failed to meet their self set standard after depressed individual revised their goal downwards their subsequent performance on the task also worsened limitation the use of a non clinical sample with self reported depressive symptom limit the generalizability of our finding to a clinical population future research would benefit from the use of a larger sample with patient suffering from clinical depression conclusion the finding support the notion that negative evaluation process in depressed individual might be linked with their tendency to generate intractable conflict between self set inappropriate high goal and their own capacity to perform however the finding need to be confirmed in clinical sample to draw conclusion about the role of goal setting in negative evaluation process in depression,2018,Mar,J Behav Ther Exp Psychiatry,58,,12-17,28759778.0,10.1016/j.jbtep.2017.07.002,,#197,Arens 2018,Louis Schiekiera (2023-06-07 20:06:44)(Screen): pos; ,,en,1.0,,0
Nocebo hyperalgesia induced by implicit conditioning,"Brascher, A. K.; Witthoft, M.",background and objective nocebo hyperalgesia i e increased pain sensitivity based on expectation can be induced by conditioning but is supposed to be mediated by conscious expectation although recent evidence point to the feasibility of subliminal conditioning of nocebo hyperalgesia with masked face face processing might be a special case and the practical implication of subliminal conditioning remain questionable this study aimed to implicitly condition nocebo hyperalgesia using supraliminal cue method implicit differential nocebo conditioning n 48 healthy participant wa implemented by coupling high and low painful electric stimulus to varying visual stimulus that only differed in the symmetry asymmetry of one component c c and contained further distracting component in the test phase only the low painful stimulus followed both c to test for conditioned nocebo effect in intensity and aversiveness rating and electrodermal activity a behavioral contingency test and a post experimental questionnaire assessed contingency awareness result a conditioned effect emerged in the aversiveness p 036 eta 2 0 09 but not in the intensity rating p 195 while controlling for contingency awareness further increased skin conductance level in response to c emerged irrespective of contingency awareness p 014 eta 2 0 13 no conditioned response in skin conductance response emerged p 872 limitation expected effect only emerged in part of the outcome variable conclusion the result support the notion that implicit conditioning of nocebo hypoalgesia is feasible using a novel experimental conditioning design with supraliminal stimulus presentation although further research is needed so far implicitly conditioned nocebo effect might have been underestimated despite vast clinical implication,2019,Sep,J Behav Ther Exp Psychiatry,64,,106-112,30952053.0,10.1016/j.jbtep.2019.03.006,,#198,Brascher 2019,Louis Schiekiera (2023-06-08 17:26:13)(Screen): mix; ,,en,0.0,,0
The relationship between drinking motives and alcohol-related interpretation biases,"Woud, M. L.; Becker, E. S.; Rinck, M.; Salemink, E.",background and objective numerous study have investigated drinking motif and alcohol related interpretation bias ibs separately however le is known about the relationship between them therefore the present study examined whether coping and enhancement drinking motif were specifically related to negative and positive alcohol related ibs respectively furthermore it wa investigated whether such bias predict future drinking especially in individual with low level of executive control ec method participant were male and female university student the drinking motif questionnaire revised dmq r cooper 1994 wa administered to measure participant drinking motif to measure alcohol related ibs an adapted version of the encoding recognition task ert wa used during the ert participant were asked to read ambiguous alcohol related scenario in a subsequent recognition phase participant interpreted these scenario a classical stroop wa applied to a level of ec result coping motif but not enhancement motif were a unique predictor of the tendency to interpret negatively valenced ambiguous alcohol relevant situation in an alcohol related manner this relationship wa significant even when controlling for other relevant predictor neither coping nor enhancement motif were predictive of positive alcohol related ibs concerning the prediction of prospective drinking result showed that particularly the negative alcohol related ib predicted prospective drinking however ec did not moderate the prediction of prospective drinking by either positive or negative interpretation bias limitation the alcohol ert might not be the most optimal paradigm for assessing implicit alcohol related ibs conclusion the present result emphasize the role of negative affect in the context of drinking motif and alcohol related ibs follow up study are needed to test the robustness of these finding and to further explore the general interplay between drinking motif and alcohol related ibs,2015,Jun,J Behav Ther Exp Psychiatry,47,,102-10,25525773.0,10.1016/j.jbtep.2014.11.012,,#199,Woud 2015,Louis Schiekiera (2023-06-12 23:28:30)(Screen): mix; ,,en,0.0,,0
Assessment of automatic associations with bodily sensations and agoraphobic situations in panic disorder,"Woud, M. L.; Becker, E. S.; Rinck, M.; Harmer, C. J.; Reinecke, A.",background and objective one of the central assumption of cognitive model of panic disorder pd is that automatic panic related association are a core feature of pd however empirical finding are mixed and inconsistent rendering it difficult to evaluate the role of panic related association adequately particularly in relation to the relevant theory the present study aimed to further advance our understanding of automatic association in pd and therefore applied a paradigm novel in this context namely an extrinsic affective simon task east method participant involved treatment seeking unmedicated panic patient n 45 and healthy control n 38 the east wa applied prior to treatment it included the following stimulus a target panic related bodily sensation and agoraphobia related situation and a attribute pleasant versus unpleasant fear related word result contrary to our expectation panic patient did not show stronger negative than positive automatic association for either panic related symptom or agoraphobia related situation compared to healthy control moreover east effect did not correlate with panic related self report measure limitation although the present study involved patient who were actively seeking treatment panic related association might not have been activated sufficiently hence a brief activation procedure e g hyperventilation might have been needed to optimize the assessment condition conclusion the present finding do not support contemporary theory of panic related association therefore follow up work is needed to disentangle their functional and operational property more thoroughly,2016,Sep,J Behav Ther Exp Psychiatry,52,,105-109,27085983.0,10.1016/j.jbtep.2016.04.001,,#200,Woud 2016,Louis Schiekiera (2023-06-14 00:11:20)(Screen): neg; ,,en,-1.0,,0
